;H=0.0 T
;TSample=5.54K, TControl=5.29K
Sun Jun 12 18:42:24 2011
CrB2 TSweep-0T
           X,            Y,            H,      Tsample,     Tcontrol,         Tset,    1/Tsample,         Time
           V,            V,            T,            K,            K,            K,          1/K,            s

         6:0          6:0          6:0          6:0          6:0          6:0          6:0          6:0 
-2.766510E-06 7.295540E-06 0.000000E+00 5.537000E+00 5.291000E+00 5.430342E+00 1.806032E-01 2.401436E+05 
-2.705970E-06 7.360740E-06 0.000000E+00 5.544000E+00 5.297000E+00 5.447009E+00 1.803752E-01 2.401456E+05 
-2.694330E-06 7.406370E-06 0.000000E+00 5.548000E+00 5.299000E+00 5.455467E+00 1.802451E-01 2.401467E+05 
-2.697590E-06 7.472960E-06 0.000000E+00 5.552000E+00 5.301000E+00 5.467842E+00 1.801153E-01 2.401484E+05 
-2.716220E-06 7.488790E-06 0.000000E+00 5.555000E+00 5.305000E+00 5.480342E+00 1.800180E-01 2.401497E+05 
-2.822850E-06 7.503700E-06 0.000000E+00 5.561000E+00 5.312000E+00 5.492842E+00 1.798238E-01 2.401514E+05 
-2.884320E-06 7.517660E-06 0.000000E+00 5.568000E+00 5.318000E+00 5.505858E+00 1.795977E-01 2.401526E+05 
-2.905740E-06 7.528380E-06 0.000000E+00 5.573000E+00 5.322000E+00 5.514325E+00 1.794366E-01 2.401537E+05 
